respid,WEIGHT,party,age_cat,educ,urbanicity,state,solar_general,solar_local,wind_local,solar_farm_nearby,main_concern
10000,1.456,Republican,30-49,High school or less,Suburban,Louisiana,Somewhat oppose,Somewhat favor,Somewhat oppose,Yes,Changes how the area looks
10001,1.7495,Independent,30-49,High school or less,Rural,Missouri,Strongly favor,Strongly favor,Strongly oppose,Yes,No concerns
10002,0.829,Republican,65+,Some college,Urban,Oklahoma,Strongly favor,Somewhat favor,Strongly oppose,Yes,No concerns
10003,1.3465,Republican,18-29,High school or less,Suburban,Oklahoma,Somewhat favor,Strongly oppose,Strongly oppose,No,Worried about property values
10004,0.6209,Democrat,65+,Some college,Rural,Texas,Strongly favor,Strongly favor,Somewhat oppose,No,Worried about property values
10005,0.8516,Republican,65+,High school or less,Suburban,Missouri,Somewhat favor,Strongly oppose,Somewhat oppose,Yes,Doubts it is reliable
10006,1.194,Democrat,18-29,Some college,Urban,Louisiana,Strongly oppose,Strongly favor,Somewhat favor,No,Uses too much land
10007,1.8402,Republican,18-29,Some college,Urban,Oklahoma,Strongly oppose,Somewhat oppose,Somewhat favor,No,Doubts it is reliable
10008,2.38,Independent,18-29,High school or less,Rural,Texas,Strongly favor,Somewhat oppose,Somewhat favor,Yes,Uses too much land
10009,0.5231,Democrat,30-49,College graduate or more,Suburban,Texas,Somewhat favor,Somewhat favor,Strongly oppose,No,Uses too much land
10010,0.3619,Democrat,65+,College graduate or more,Suburban,Kansas,Somewhat favor,Somewhat oppose,Somewhat favor,No,Uses too much land
10011,1.4221,Independent,18-29,Some college,Urban,Louisiana,Somewhat oppose,Somewhat favor,Somewhat favor,No,No concerns
10012,0.5737,Democrat,50-64,Some college,Suburban,Oklahoma,Somewhat oppose,Somewhat favor,Somewhat favor,No,Worried about property values
10013,0.3684,Independent,65+,College graduate or more,Urban,Texas,Strongly favor,Strongly favor,Strongly favor,Yes,No concerns
10014,0.7919,Republican,50-64,Some college,Urban,Oklahoma,Strongly favor,Somewhat favor,Somewhat oppose,No,Uses too much land
10015,1.2085,Democrat,30-49,Some college,Rural,Kansas,Somewhat favor,Somewhat favor,Strongly favor,Yes,No concerns
10016,0.5986,Democrat,30-49,College graduate or more,Suburban,Texas,Somewhat favor,Somewhat favor,Somewhat favor,No,Changes how the area looks
10017,0.6724,Republican,65+,High school or less,Suburban,Kansas,Strongly favor,Somewhat oppose,Strongly oppose,Yes,Something else
10018,0.3902,Democrat,30-49,College graduate or more,Suburban,Texas,Strongly favor,Strongly favor,Somewhat favor,No,Something else
10019,1.5213,Republican,30-49,Some college,Rural,Arkansas,Somewhat oppose,Somewhat oppose,Strongly oppose,Yes,Worried about property values
10020,0.3403,Democrat,50-64,College graduate or more,Urban,Texas,Strongly favor,Somewhat oppose,Somewhat favor,No,Doubts it is reliable
10021,2.2552,Republican,18-29,Some college,Urban,Texas,Strongly favor,Strongly oppose,Strongly oppose,No,Uses too much land
10022,1.2376,Independent,30-49,High school or less,Suburban,Texas,Strongly favor,Strongly favor,Strongly oppose,No,Changes how the area looks
10023,0.814,Democrat,30-49,College graduate or more,Rural,Texas,Somewhat favor,Somewhat favor,Strongly favor,No,No concerns
10024,1.6322,Independent,18-29,High school or less,Suburban,Texas,Strongly favor,Strongly favor,Somewhat oppose,No,No concerns
10025,0.7145,Democrat,30-49,Some college,Urban,Oklahoma,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
10026,0.9203,Independent,50-64,High school or less,Suburban,Texas,Somewhat oppose,Strongly favor,Strongly favor,No,No concerns
10027,0.5836,Republican,30-49,College graduate or more,Urban,Texas,Somewhat favor,Somewhat favor,Strongly oppose,No,No concerns
10028,0.9403,Republican,30-49,College graduate or more,Suburban,Texas,Strongly favor,Somewhat favor,Somewhat oppose,No,No concerns
10029,1.7977,Democrat,18-29,High school or less,Suburban,Arkansas,Strongly favor,Somewhat favor,Somewhat favor,No,Something else
10030,1.8814,Republican,18-29,Some college,Suburban,Texas,Strongly oppose,Somewhat favor,Somewhat favor,No,No concerns
10031,0.5069,Republican,50-64,College graduate or more,Urban,Texas,Strongly oppose,Somewhat favor,Somewhat favor,No,No concerns
10032,0.8088,Republican,30-49,Some college,Suburban,Louisiana,Somewhat favor,Somewhat favor,Strongly oppose,No,No concerns
10033,0.3436,Independent,65+,College graduate or more,Suburban,Louisiana,Strongly favor,Strongly oppose,Strongly oppose,No,Doubts it is reliable
10034,0.9502,Republican,30-49,Some college,Suburban,Kansas,Strongly favor,Somewhat favor,Somewhat oppose,No,No concerns
10035,0.501,Democrat,65+,Some college,Rural,Texas,Strongly favor,Somewhat favor,Strongly favor,No,No concerns
10036,1.4113,Republican,18-29,College graduate or more,Urban,Kansas,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
